technology
citizens
fails
unworthy
finally
time
straightforward
assessment
present
facts
plainly
honestly
cannot
afford
politically
correct
anymore
hear
corporate
spin
carefully
crafted
lies
myths
democrats
week
here
there
honor
people
truth
nothing
else
leaks
hours
advance
nick
gass
these
decades
progress
made
bringing
being
reversed
administration
rollback
criminal
enforcement
homicides
year
increased
fifty
largest
increase
years
capital
killings
risen
nearly
nearby
baltimore
hometown
alone
killed
area
since
took
office
number
officers
line
point
illegal
immigrants
records
ordered
deported
roaming
peaceful
immigrant
families
crossed
border
exceeds
entire
total
released
tens
thousands
regard
impact
resources
such
crosser
nebraska
ended
innocent
young
girl
named
sarah
root
graduating
grade
average
killer
second
fugitive
beautiful
amazing
daughter
just
wasn
worth
protecting
child
sacrifice
altar
open
borders
economy
tell
plain
edited
newspaper
four
children
living
poverty
while
youth
employed
latinos
when
oath
eight
entirely
household
incomes
manufacturing
deficit
reached
high
billion
single
better
doubled
national
debt
trillion
growing
show
roads
bridges
falling
apart
airports
third
condition
forty
three
food
stamps
consider
affairs
abroad
endured
domestic
disaster
lived
through
international
humiliation
remember
sailors
forced
knees
iranian
captors
gunpoint
prior
signing
which
gave
history
worst
deals
ever
came
drew
whole
knew
libya
consulate
symbol
prestige
around
globe
brought
flames
safe
stable
decision
foreign
certain
truly
regrets
instincts
judgment
something
pointed
caused
disasters
unfolding
record
isis
cooperating
egypt
iraq
seeing
reduction
choked
sanctions
spread
across
region
ruins
ambassador
were
helpless
hands
savage
killers
radical
muslim
brotherhood
forcing
military
retake
path
weapons
engulfed
civil
refugee
threatens
fifteen
wars
middle
east
trillions
dollars
spent
lost
situation
worse
legacy
death
destruction
weakness
problems
long
continue
relying
same
politicians
created
them
change
leadership
required
outcomes
action
important
difference
opponents
first
americanism
globalism
credo
assured
other
nations
treat
respect
once
begin
means
neighborhoods
secure
protection
without
outline
reforms
millions
jobs
wealth
used
rebuild
opposed
powerful
special
interests
rigged
political
economic
system
exclusive
benefit
business
elite
donors
lining
behind
opponent
keep
place
throwing
money
everything
puppet
pull
strings
things
never
every
wake
determined
neglected
ignored
abandoned
visited
laid
factory
workers
crushed
horrible
unfair
forgotten
work
hard
longer
voice
embraced
crying
mothers
personal
agendas
patience
injustice
tolerance
incompetence
sympathy
fail
suffer
lacks
courage
decency
enforce
laws
sold
lobbyist
look
secretary
illegally
private
server
deletes
authorities
puts
risk
different
form
consequence
corruption
level
director
extremely
careless
negligent
handling
classified
secrets
terms
minor
actually
save
facing
crimes
greatest
accomplishment
committing
egregious
getting
away
especially
others
dearly
rakes
trading
access
favors
powers
joined
arena
beat
nobody
firsthand
against
chance
join
movement
biggest
issue
going
cause
proud
side
vice
governor
mike
pence
indiana
success
character
task
liberate
lawlessness
shocked
core
dallas
brutally
executed
threats
officials
shot
georgia
missouri
wisconsin
kansas
tennessee
sunday
gunned
baton
rouge
louisiana
badly
injured
person
threatening
take
restore
leaked
stokols
appoint
best
prosecutors
done
irresponsible
rhetoric
pulpit
divide
dangerous
environment
everyone
failed
inner
education
ensure
treated
equally
protected
myself
make
detroit
ferguson
much
live
dreams
must
outside
defeat
barbarians
france
victim
brutal
islamic
viciously
mowed
ruined
ripped
mourning
damage
devastation
inflicted
radicals
bernardino
boston
marathon
recruiting
chattanooga
weeks
orlando
wonderful
savagely
murdered
terrorist
targeted
lgbt
community
power
protect
oppression
hateful
ideology
need
focus
intelligence
gathering
operation
abandon
building
regime
pushed
instead
allies
goal
destroying
stamping
terror
includes
israel
lastly
suspend
immigration
compromised
proven
vetting
mechanisms
called
syrian
refugees
existing
massive
flows
proposes
despite
screen
where
admit
individuals
values
love
anyone
endorses
hatred
welcome
produced
lower
wages
unemployment
latino
heard
parents
whose
mary
mendoza
sabine
durden
jamiel
shaw
brave
representatives
travels
affected
deeply
fathers
spilling
represent
demonstrators
behalf
meet
pain
sanctuary
kate
steinle
suffered
horribly
wounded
stand
corner
send
pledge
countless
suffering
awful
fate
build
great
gangs
drugs
pouring
honored
receive
patrol
agents
directly
integrity
lawful
ending
catch
release
cycle
human
smuggling
crossings
enforcing
rules
overstay
visas
deserve
demands
denied
listen
closely
words
enforced
considerate
compassionate
compassion
struggling
exact
opposite
relief
uncontrolled
proposing
mass
amnesty
overwhelm
schools
hospitals
further
reduce
harder
escape
vision
begins
fair
protects
stands
countries
cheat
signature
feature
billions
making
agreements
ones
following
enactment
disastrous
supported
nafta
firing
employees
along
consequences
virtually
agreement
class
china
entrance
organization
husband
colossal
mistakes
killing
south
korea
trans
pacific
partnership
destroy
subject
rulings
governments
sign
hurts
diminishes
independence
individual
enter
pages
reads
understands
violations
taxes
tariffs
cheats
stopping
outrageous
theft
intellectual
property
product
dumping
devastating
currency
manipulation
totally
renegotiated
renegotiating
walk
start
comes
reform
regulations
energy
proposed
declared
income
experience
profound
simplified
highest
taxed
reducing
roaring
regulation
excessive
costing
lift
restrictions
production
produce
creating
activity
miners
steel
policies
flowing
improve
quality
highways
tunnels
railways
tomorrow
create
failing
helping
school
choice
rather
bureaucrats
serve
repeal
replace
choose
doctor
completely
depleted
loss
veterans
taken
dismissed
scandal
widespread
touch
really
provide
list
wasteful
projects
eliminate
talked
justices
supreme
court
uphold
constitution
replacement
scalia
similar
views
principles
issues
decided
essentially
abolish
amendment
received
early
strong
rifle
association
thank
evangelical
supportive
contribute
prevent
minds
pulpits
lyndon
johnson
religious
institutions
exempt
status
openly
advocate
language
accomplish
believing
ourselves
bigger
stronger
journey
lucky
wife
melania
ivanka
eric
tiffany
barron
always
source
pride
fred
smartest
hardest
wonder
sometimes
learned
youngest
dignity
comfortable
company
bricklayers
carpenters
electricians
mother
warm
minded
honest
charitable
known
judge
sisters
brother
robert
late
loved
sole
mission
victory
petty
past
believers
dreamers
strivers
censors
critics
cynics
telling
wouldn
standing
rely
those
elites
anything
believe
waiting
rise
occasion
independent
asks
recite
word
loyalty
parent
fight
towns
promise
follow
getelementbyid
createelement
widgets
parentnode
insertbefore
script
authors
webin
tagged
comments
read
helps
dodge
bullet
rsquo
speechwriter
puzzling
pitch
nationwide
hampshire
warms
running
tight
adam
walinsky
guide
winning
gaffes
matt
latimer
return
xfbml
version
jssdk
footer
dropdown
links
